abandon: abandon,abandoned,abandons
guzzle: guzzle
hades: hades
hadst: hadst
hail: hail
hair: hair
hairy: hairy
hallway: hallway
halt: halt
hammer: hammers
hand: hand,hands
handmaid: handmaids
hang: hanging,hangs,hung
hannibal: hannibal
happen: happen,happened
happiness: happiness
happy: happy
harbor: harbor,harbored
hard: hard,harder
hardihood: hardihood
hardy: hardy
harlot: harlot
harm: harm,harmed,harms
harmful: harmful
harmless: harmless
harmonize: harmonized
harmony: harmony
harpies: harpies
harpy: harpies
harsh: harsh
hart: hart
haruspex: haruspex
harvest: harvested
hast: hast
haste: haste
hasten: hasten,hastened
hastily: hastily
hasty: hasty
hate: hate
hatred: hatred
hauberk: hauberk
haunch: haunch,haunches
head: head,heads
headlong: headlong
heap: heap,heaped,heaps
hear: hear,heard,hearing,hears
hearing: hearing
heart: heart,hearts
heat: heat,heats
heathen: heathen
heaven: heaven,heavens
heavenly: heavenly
heavens: heavens
heavily: heavily
heaviness: heaviness
heavy: heavy
hectic: hectic
hector: hector
hecuba: hecuba
hedge: hedge
heed: heed,heeded
heel: heels
height: height
heir: heir
helen: helen
heliotrope: heliotrope
hem: hem
hemisphere: hemisphere,hemispheres
henceforth: henceforth
henry: henry
herb: herb
hercules: hercules
herd: herd
heretic: heretic
heretics: heretics
heretofore: heretofore
herewith: herewith
hero: heroes
hexameter: hexameter
hidden: hidden
hide: hidden,hide
hideous: hideous
hierarchy: hierarchy
highly: highly
highway: highways
hill: hill,hills
hillside: hillside
hinder: hinder,hindered,hinders
hindrance: hindrance,hindrances
hippocrates: hippocrates
hiss: hisses,hissing
history: history
hitherto: hitherto
hoar: hoar
hoarse: hoarse
hog: hog
hold: held,hold,holding,holds
holder: holder
hole: hole,holes
hollow: hollow,hollowed
holy: holy
homer: homer
homeward: homeward
homicide: homicides
hone: hones
honest: honest
honor: honor,honored,honors
honorable: honorable
honored: honored
hood: hood,hoods
hook: hook,hooked,hooks
hope: hope,hopes
horace: horace
horizon: horizon
horn: horn,horned,horns
horned: horned
horrible: horrible
horribly: horribly
horror: horror
horse: horse,horses
horseman: horsemen
hospital: hospitals
host: host
hostile: hostile
hot: hot
hound: hound,hounds
hour: hour,hours
house: house,houses
household: household
howl: howl,howls
howsoever: howsoever
huddle: huddles
huge: huge
hum: hum
human: human
humanity: humanity
humble: humble
humiliate: humiliated
humor: humor
hundredth: hundredth
hunger: hunger
hungry: hungrier
hunt: hunt
hurl: hurl,hurled
hurricane: hurricane
hurt: hurt,hurts
husband: husband
hush: hushed
hydras: hydras
hydropic: hydropic
hydropsy: hydropsy
hymn: hymn
hypocrisy: hypocrisy
hypocrite: hypocrites
hypothetical: hypothetical
hypsipyle: hypsipyle
icarus: icarus
ice: ice
ida: ida
ideal: ideals
identification: identification
identify: identify
idolater: idolater
ignorance: ignorance
iii: iii
iliad: iliad
ilion: ilion
illness: illness
illuminate: illuminated
illustration: illustration,illustrations
illustrious: illustrious
image: image,images
imagery: imagery
imagination: imagination,imaginations
imaginative: imaginative
imagine: imagine,imagined,imagining
immersion: immersion
immortal: immortal,immortals
impatient: impatient
impede: impede
imperfect: imperfect
impetuous: impetuous
impious: impious
imply: implied
import: import,imported
impose: imposed
impossible: impossible
inaccurate: inaccurate
inadequate: inadequate
incarcerate: incarcerate
incense: incense
inch: inch
incident: incident,incidents
incidental: incidental
incite: incited
incline: incline,inclined
inclined: inclined
include: include,included,includes,including
including: including
incomparable: incomparable
incomplete: incomplete
incontinence: incontinence
incorporate: incorporated
incorporeal: incorporeal
increase: increase,increased,increasing
increate: increate
incredible: incredible
incur: incurred,incurs
indemnify: indemnify
indemnity: indemnity
independent: independent
india: india
indication: indication
indignant: indignant
indirect: indirect
indirectly: indirectly
indispensable: indispensable
individual: individual,individuals
individuality: individuality
indoors: indoors
induce: induced
inebriated: inebriated
ineffectual: ineffectual
infallible: infallible
infamy: infamy
infant: infants
infect: infects
infer: inferred
infernal: infernal
inferno: inferno
infidelity: infidelity
infinite: infinite
inflame: inflame,inflamed
inflict: inflicted
influence: influence
inform: inform
informed: informed
infrequently: infrequently
infringement: infringement
inhabit: inhabited
inhabitant: inhabitants
inheritance: inheritance
injure: injured,injures
injury: injury
inn: inn
innermost: innermost
innocent: innocent
insane: insane
inscribe: inscribe
inscription: inscription
insolence: insolence
inspire: inspired
instance: instance
instant: instant
instantly: instantly
institution: institutions
instruct: instructed
instruction: instruction
instrument: instrument
intellect: intellect
intellectual: intellectual
intelligence: intelligence
intelligences: intelligences
intend: intend,intended
intensely: intensely
intent: intent
intention: intention
inter: inter
interfere: interfere
interior: interior
internal: internal
international: international
interpret: interpreted
interpretation: interpretation
interpreter: interpreter
intervene: intervened
introduce: introduced
introduction: introduction
invalidity: invalidity
invaluable: invaluable
invent: invented
inventor: inventor
invert: inverts
invisible: invisible
invitation: invitation
invite: invited,invites
involve: involved
inwardly: inwardly
ire: ire
irk: irk,irks
irksome: irksome
iron: iron
ironical: ironical
irs: irs
iscariot: iscariot
island: island,islands
isle: isle
israel: israel
issue: issue,issued,issues,issuing
italian: italian,italians
italy: italy
itch: itch
itching: itching
iv: iv
ivy: ivy
ix: ix
jag: jag
james: james
jason: jason
jaw: jaw,jaws
jehoshaphat: jehoshaphat
jericho: jericho
jerusalem: jerusalem
jest: jest
jews: jews
john: john
joint: joints
joseph: joseph
journey: journey
joust: joust,jousts
jove: jove
jovial: jovial
joy: joy
joyous: joyous
jubilee: jubilee
judas: judas
judge: judge,judges
judgment: judgment,judgments
judicature: judicatures
juice: juice
julia: julia
julio: julio
july: july
jump: jumps
juncture: juncture
june: june
juno: juno
jurist: jurist
justice: justice
justly: justly
jut: jutted
keeping: keeping
kick: kick
kill: kill,killed,kills
kin: kin
kindle: kindle,kindled
king: king,kings
kingdom: kingdom
kinsfolk: kinsfolk
kinsman: kinsmen
kiss: kiss,kissed
knavery: knavery
knavish: knavish
knee: knees
knife: knife
knightly: knightly
knot: knot,knots,knotted
knotty: knotty
knowledge: knowledge
labor: labored
lack: lack
laden: laden
lady: ladies,lady
lair: lair
lake: lake
lament: lament,lamented,lamenting,laments
lamentable: lamentable
lamentation: lamentation,lamentations
lamenting: lamenting
lamp: lamp
lance: lance
lancelot: lancelot
land: land,landed,lands
language: language,languages
languish: languishes,languishing
lantern: lantern
lap: lap
largess: largess
lastly: lastly
late: late
lateran: lateran
latian: latian
latin: latin
latinus: latinus
laudable: laudable
lave: lave
lavinia: lavinia
law: law,laws
lay: laid,lay,lays
layman: layman
le: le
lead: lead,leading,leads,led
leaded: leaded
leaden: leaden
leader: leader,leaders
leadeth: leadeth
leaf: leaves
lean: lean,leaned,leaning
leap: leap,leaped
learchus: learchus
learn: learn,learned,learns
leather: leather
leave: leave,leaving,left
lector: lector
ledge: ledge
left: left
leg: legs
legal: legal
legally: legally
legato: legato
legend: legend
leicester: leicester
leipzig: leipzig
lend: lends
lengthen: lengthen
leonine: leonine
leopard: leopard
leprosy: leprosy
leprous: leprous
lessen: lessened
lethe: lethe
letter: letter,letters
letters: letters
level: level
leveret: leveret
levy: levied
liability: liability
liable: liable
liberty: liberty
library: library
libya: libya
license: license
licensed: licensed
licit: licit
lick: lick,licks
lid: lid,lids
lie: lie,lied,lies,lying
lieu: lieu
life: life,lives
lift: lift,lifted,lifting,lifts
light: light,lighter,lights
lighten: lightens
lightly: lightly
likeness: likeness
limb: limb,limbs
limbed: limbed
limbo: limbo
limit: limited,limits
limitation: limitation
limited: limited
limpid: limpid
linger: lingers
link: linked,links
linus: linus
lion: lion,lions
lioness: lioness
lip: lip,lips
list: listed
listen: listen,listened,listening,listens
literal: literal
literally: literally
literary: literary
litter: litter
live: live,lived,lives,living
lived: lived
livelihood: livelihood
liveth: liveth
livid: livid
living: living
livres: livres
lizard: lizard
lo: lo
load: load
loathsome: loathsome
local: local
locality: locality
locate: located
location: locations
lock: lock,locked,locking,locks
loftiness: loftiness
lofty: loftiest,lofty
log: log
logician: logician
lombard: lombard
london: london
longing: longing
loose: loose,loosed
lop: lopped
lord: lord
lordship: lordship
lose: lose,loses,losing,lost
loss: loss
lost: lost
lot: lot
loud: loud
loudly: loudly
louis: louis
love: love,loved,loving
loved: loved
lover: lover
lowell: lowell
lucan: lucan
luce: luce
lucent: lucent
lucia: lucia
lucifer: lucifer
luckless: luckless
lucretia: lucretia
lui: lui
luminous: luminous
lung: lungs
lunge: lunge
lure: lure,lured
lurid: lurid
lust: lust
lute: lute
luxurious: luxurious
luxury: luxury
maccabees: maccabees
machine: machine
mad: mad
magic: magic
magical: magical
magician: magicians
magicians: magicians
magistrate: magistrate,magistrates
magnanimous: magnanimous
magus: magus
mahomet: mahomet
maiden: maiden
main: main
mainsail: mainsail
maintain: maintain,maintained,maintaining,maintains
major: major
maker: maker
malarial: malarial
male: male,males
malebolge: malebolge
malice: malice
malign: malign
maltreat: maltreating
mamma: mamma
manager: manager
manfred: manfred
mangle: mangling
mangled: mangled
mangona: mangona
manifest: manifest
mankind: mankind
manner: manner
mantle: mantle
manto: manto
mantua: mantua
mantuan: mantuan
mar: mar
marble: marble,marbles
march: march
marcia: marcia
mare: mare
maremma: maremma
marge: marge
margin: margin,margins
maria: maria
mark: mark,marked,marks
marquis: marquis
mars: mars
marsh: marsh
martin: martin
marvel: marvel,marvelling
marvelous: marvelous
marvelously: marvelously
masculine: masculine
mass: mass
massachusetts: massachusetts
mast: mast
master: master,mastered,masters
mastery: mastery
mastiff: mastiff
match: match
material: material
matter: matter
matthias: matthias
mattock: mattock
mausoleum: mausoleum
maximum: maximum
mayest: mayest
mayst: mayst
meadow: meadow
meagreness: meagreness
meal: meal
meaning: meaning
measure: measure
meat: meat
medea: medea
medicine: medicine
mediterranean: mediterranean
medium: medium
medusa: medusa
meet: meet,meets,met
megaera: megaera
melancholy: melancholy
melt: melted
melting: melting
memory: memory
mention: mentioned,mentions
merchantability: merchantability
merciless: merciless
mercury: mercury
mercy: mercy
mere: mere
merit: merit,merits
messenger: messenger
messer: messer
metal: metal,metals
method: method,methods
metrical: metrical
mew: mew
mezzo: mezzo
michael: michael
michel: michel
mid: mid
middle: middle
midst: midst
midway: midway
mightily: mightily
mighty: mighty
mile: mile,miles
milk: milked,milks
mincio: mincio
mind: mind,minds
mingle: mingled
mingled: mingled
minister: ministers
ministress: ministress
minor: minor
minos: minos
minotaur: minotaur
minstrel: minstrel
minute: minutest
mire: mire
mirror: mirror
mis: mis
miscreant: miscreant,miscreants
miserable: miserable
miserably: miserably
misery: misery
misfortune: misfortune
misrule: misrule
mission: mission
mississippi: mississippi
mist: mist
mistrust: mistrust
misuse: misuse
mittimus: mittimus
mix: mixed
mixture: mixture
moan: moaning
moat: moats
mock: mock,mocked
mode: mode
moderate: moderate
modern: modern
modestly: modestly
modesty: modesty
modification: modification
modify: modified
moist: moist
mole: mole
molest: molest,molested,molests
molestful: molestful
moment: moment
monday: monday
money: money
monk: monks
monstrous: monstrous
mont: mont
monte: monte
monument: monuments
moon: moon,moons
moore: moore
moral: moral
morality: morality
moras: moras
morn: morn
morning: morning
morocco: morocco
morrow: morrow
mortal: mortal,mortals
moses: moses
mosque: mosques
mother: mother
motion: motion
motionless: motionless
motive: motives
motto: motto
mould: mould,moulded
mount: mount,mounted,mounting
mountain: mountain,mountains
mourn: mourns
mouse: mouse
mouth: mouth,mouths
movement: movement
mud: mud
muddy: muddy
mule: mule
mult: mult
murder: murder,murdered
murderer: murderer,murderers
murky: murky
murmur: murmuring
muse: muses
music: music
musical: musical
muster: muster
mute: mute
mutilate: mutilated
mutual: mutual
mutually: mutually
muzzle: muzzle,muzzles
myrrh: myrrh
nail: nails
naked: naked
nape: nape
naples: naples
narcissus: narcissus
nard: nard
narrate: narrating
narration: narration
narrative: narrative
narrator: narrator
narrow: narrow
narrowness: narrowness
nasty: nasty
native: native
natural: natural
naturally: naturally
nature: nature,natures
navarrese: navarrese
navel: navel
nearness: nearness
nebuchadnezzar: nebuchadnezzar
necessity: necessity
neck: neck,necks
needful: needful
needle: needle
needless: needless
negligence: negligence
neighbor: neighbor,neighbors
neighborhood: neighborhood
nephew: nephew
neptune: neptune
nerve: nerve,nerves
nessus: nessus
nest: nest,nests
nestle: nestle
nether: nether
network: network
nevermore: nevermore
news: news
newsletter: newsletter
niccolo: niccolo
nicholas: nicholas
nick: nick
nicodemus: nicodemus
nigh: nigh
night: night,nights
nile: nile
nimble: nimble
nimrod: nimrod
ninth: ninth
nisus: nisus
noah: noah
nobility: nobility
noble: noble
noise: noise
noisome: noisome
nonproprietary: nonproprietary
noose: nooses
norman: norman
north: north
northern: northern
nose: nose
notable: notable
notch: notch
note: note,notes
notice: notice
noticeable: noticeable
notify: notifies
notorious: notorious
notre: notre
nourish: nourished
nourishment: nourishment
novelty: novelty
nurture: nurtured
oar: oar,oars
obdurate: obdurate
obedient: obedient
obey: obey
object: object,objects
oblige: obliged
obscure: obscure
obscurity: obscurity
observe: observe,observed
obsolete: obsolete
obverse: obverse
obvious: obvious
occasion: occasion,occasioned
occasional: occasional
occasionally: occasionally
occult: occult
occur: occur
ocean: ocean
october: october
ode: ode
odyssey: odyssey
oedipus: oedipus
offend: offends
offense: offense
offer: offered,offers
office: office,offices
official: official
offspring: offspring
oft: oft
oftentime: oftentime
oftentimes: oftentimes
oil: oiled
olden: olden
olympus: olympus
online: online
onward: onward
opportunity: opportunities,opportunity
oppose: opposed,opposing
opposition: opposition
oppress: oppresses
opprobrious: opprobrious
oracula: oracula
orange: orange
ordain: ordained,ordains
ordure: ordure
organize: organized
origin: origin
original: original
originator: originator
orion: orion
orison: orison
ornate: ornate
orpheus: orpheus
ossa: ossa
otter: otter
otus: otus
outcast: outcast,outcasts
outdated: outdated
outer: outer
outlet: outlet
outrage: outrage
outset: outset
outstrip: outstrip
outward: outward
outwardly: outwardly
outworn: outworn
overact: overacts
overcome: overcame,overcome
overshadow: overshadows
overthrow: overthrow
overweening: overweening
ovid: ovid
owe: owe,owed
owner: owner
ox: ox
oxford: oxford
pace: pace
paddle: paddles
paduan: paduan
pain: pain,pains
paint: painted
palace: palace
palazzo: palazzo
pale: pale
palladium: palladium
pallid: pallid
palm: palms
palsy: palsy
pan: pan
pandar: pandar
pander: panders
panders: panders
panting: panting
papacy: papacy
papal: papal
pape: pape
paper: paper
paperwork: paperwork
par: par
paradise: paradise
paragraph: paragraph,paragraphs
paramour: paramour
parent: parent,parents
paris: paris
parley: parley
parma: parma
parson: parson
partial: partial
partially: partially
partly: partly
party: parties,party
pass: pass,passed,passes,passing
passage: passage,passages
passion: passion,passions
passus: passus
pastor: pastor
pasture: pasture,pastures
patch: patches
pate: pate
paternal: paternal
path: path
patriarch: patriarch
patron: patron
paul: paul
paunch: paunch
pause: paused
paw: paw,paws
pay: paid,pay,paying
payment: payments
peace: peace
peasant: peasant
peculator: peculator
peculiar: peculiar
peel: peeled
peleus: peleus
pen: pen
penalty: penalties,penalty
pencil: pencil
penelope: penelope
penetrate: penetrates
penitent: penitent
pepper: pepper
perceive: perceive,perceived,perceives
perchance: perchance
perennial: perennial
perfect: perfect
perfection: perfection
perfidious: perfidious
perforate: perforate
perform: perform,performed,performing
performance: performances
peril: peril,perils
perilous: perilous
periodic: periodic
perjure: perjured
permanent: permanent
permission: permission
permit: permit,permitted
permutation: permutations
perpetual: perpetual
perplexed: perplexed
perse: perse
person: people,person,persons
personage: personages
personate: personate
perspicacity: perspicacity
pervading: pervading
perverse: perverse
pervert: perverted
pestilence: pestilence
peter: peter
phaethon: phaethon
phalaris: phalaris
pharisees: pharisees
philip: philip
philosophic: philosophic
philosophy: philosophy
phlegethon: phlegethon
phoenix: phoenix
phrase: phrase,phrases
physical: physical
physics: physics
pick: picks
piece: pieces
piecemeal: piecemeal
pier: pier
pierce: pierced,pierces
pieta: pieta
piety: piety
pile: pile
pilgrim: pilgrim
pillage: pillage
pillars: pillars
pilot: pilot
pincers: pincers
pine: pine
pipe: pipe
pirate: pirates
pisa: pisa
pit: pit,pits
pitch: pitch
pitchy: pitchy
piteous: piteous
piteously: piteously
pitiful: pitiful
pitiless: pitiless
pity: pity
piu: piu
plague: plagues
plain: plain
plaint: plaint
planet: planet
plant: plant,planted,plants
plaster: plaster
plato: plato
play: play,playing
pleased: pleased
pleasing: pleasing
pleasure: pleasure
pledge: pledge,pledges
plenty: plenty
plight: plight,plighted
plot: plotted
plough: ploughs
pluck: plucked
plumage: plumage
plumb: plumb
plunge: plunge,plunged,plunges
plural: plural
pluto: pluto
ply: plied,plies
po: po
podesta: podestas
poem: poem
poet: poet,poets
poetic: poetic
poetizing: poetizing
poetry: poetry
poison: poison
pole: pole
polenta: polenta
political: political
pollute: polluted
pool: pool,pools
poor: poor
pope: pope,popes
populace: populace
popular: popular
popularly: popularly
population: population
port: port,ports
portion: portion
poseidon: poseidon
possess: possess,possessed
possession: possession
possibility: possibility
post: post,posted
pouch: pouch
pour: pour,pours
power: power,powers
powerful: powerful
powers: powers
practicable: practicable
practically: practically
practice: practice,practiced,practices
praise: praise
pray: pray,prayed,prays
prayer: prayer,prayers
precede: preceded
precinct: precinct
precious: precious
precipice: precipice
precipitous: precipitous
precise: precise
precisely: precisely
preconcerted: preconcerted
predecessor: predecessor
prefer: preferred
pregnant: pregnant
prepare: prepare,prepared,preparing
presence: presence
preserve: preserve
press: press,pressed
pressure: pressure
pretend: pretended
prevail: prevailed,prevailing
prevalence: prevalence
prevent: prevent,prevented
previous: previous
prey: prey
prick: pricked
pride: pride
priest: priest,priests
priesthood: priesthood
primal: primal
prince: prince
princes: princes
principal: principal
print: print,printed,prints
printing: printing
priscian: priscian
prison: prison
prisoner: prisoner
private: private
privilege: privilege
privy: privies
prize: prize,prizes
probation: probation
proceed: proceed,proceeded,proceeds
proceeds: proceeds
processing: processing
proclaim: proclaim
procure: procure
prodigal: prodigal,prodigals
produce: produce,produced,producing
production: production
profane: profane
professor: professor
profit: profits
profligate: profligate
profound: profound
progress: progress
prohibition: prohibition
project: project
projection: projections
prominently: prominently
promise: promise,promised
promote: promoting
promotion: promotion
prompt: prompt
prong: prongs
proof: proof,proofs
proofread: proofread
proper: proper
property: property
prophecy: prophecies,prophecy
prophet: prophet
propitious: propitious
proportion: proportion
propose: proposes
proprietary: proprietary
prose: prose
prostitute: prostitute
prostrate: prostrate
protect: protect,protected,protecting
protectress: protectress
protrude: protruded
proverb: proverb
provide: provide,providing
providence: providence
providentially: providentially
provision: provision,provisions
provost: provost
prow: prow
psalm: psalms
ptolemaic: ptolemaic
ptolemy: ptolemy
public: public
publish: published
puff: puffed
pull: pulled
pulse: pulses
pungent: pungent
punic: punic
punish: punish,punished,punishes
punishment: punishment,punishments
punitive: punitive
pure: pure
purely: purely
purgatory: purgatory
purple: purple
purpose: purpose
purse: purse
pursuant: pursuant
pursue: pursued,pursuing
pursuit: pursuit
push: push,pushed,pushing
putrescent: putrescent
putrid: putrid
pyre: pyre
pyrrhus: pyrrhus
quality: qualities,quality
quando: quando
quarrel: quarrel
quartan: quartan
quarter: quarter
queen: queen
quench: quenched
question: question,questioned,questions
qui: qui
quick: quick
quicken: quicken
quiet: quiet,quieted
quilt: quilt
quiver: quivered,quivering
quod: quod
quomodo: quomodo
rabid: rabid
race: race,races
rachel: rachel
radiance: radiance
rage: rage,raged,rages,raging
ragged: ragged
railroad: railroad
rain: rain,rained,raining,rains
raise: raise,raised,raising
ram: ram
range: range
rankle: rankle
rapacious: rapacious
rapidly: rapidly
rapine: rapine
rating: rating
raucous: raucous
ravage: ravage
raven: ravening
ravenous: ravenous
ravine: ravine
ray: ray,rays
reach: reach,reached,reaches,reaching
read: read,reading
readable: readable
reader: reader,readers
reading: reading,readings
ready: ready
real: real
reality: reality
realm: realm,realms
reason: reason
reasonable: reasonable
reassure: reassures
rebel: rebels
rebellion: rebellion
rebellious: rebellious
reborn: reborn
rebound: rebound
rebuild: rebuilt
recall: recalls
receipt: receipt
receive: receive,received,receives,receiving
rechange: rechange
reckoning: reckoning
recognition: recognition
recognize: recognize,recognized,recognizes,recognizing
recollect: recollect
recommend: recommended
recompense: recompense
reconciliation: reconciliation
record: record,recorded,records
recount: recount
red: red
redeem: redeemed
redemption: redemption
redistribute: redistribute,redistributing
redistributing: redistributing
redistribution: redistribution
redness: redness
reduce: reduced
reecho: reechoes
reek: reek
refer: refer,referred,refers
reference: reference,references
references: references
reflect: reflect,reflected,reflecting
reformer: reformer
refrain: refrained
refresh: refresh
refuge: refuge
refund: refund
refusal: refusal
refuse: refuse
regain: regain
regard: regard,regarded
region: region,regions
register: registered,registers
regret: regret
regulate: regulating
reign: reigns
rein: reins
rejoice: rejoice,rejoiced,rejoices
rejoin: rejoin,rejoined
rekindle: rekindled
relate: relate,relates
relative: relative
release: release
relief: relief
relieve: relieve
religion: religions
religious: religious
remain: remain,remained,remaining,remains
remedy: remedies
remember: remember,remembered
remote: remote
remount: remounted
remove: remove,removed
rename: renamed
rend: rend,rending,rends
render: render,renders
renegade: renegade
renew: renew,renewed,renews
reno: reno
renounce: renounced
renovate: renovates
renowned: renowned
rent: rent
repass: repassed
repast: repast
repeat: repeat
repent: repent,repented,repents
repentance: repentance
repentant: repentant
replace: replace
replacement: replacement
replete: replete
reply: replied,reply
report: report,reported,reporting,reports
repose: repose
repray: repray
represent: represent
representation: representations
repress: repressed
reproach: reproach,reproaches
reproduce: reproduce
reproduction: reproduction
repute: repute
request: request
require: require,required,requires
requirement: requirements
requisite: requisite
resemblance: resemblance
reserve: reserve,reserves
reside: resided
resist: resisting
resistance: resistance
resolute: resolute
resound: resounds
resounding: resounding
resource: resources
respect: respect
resplendent: resplendent
respond: respond,responded
rest: rest,rested,rests
restore: restore,restored
restrain: restrain
restriction: restrictions
result: result
retain: retained,retains
retaliation: retaliation
retrace: retrace,retraced
return: return,returned,returning,returns
revelation: revelation
revenue: revenue
reverberate: reverberates
revere: revered
reverence: reverence
reverently: reverently
revert: reverts
revest: revest
revive: revived,reviving
revolve: revolved
reward: reward
rhea: rhea
rhyme: rhyme,rhymes
rhythmic: rhythmic
rhythmical: rhythmical
ribald: ribald
rich: rich
richard: richard
rid: rid
ridge: ridge
righteousness: righteousness
rightful: rightful
rightfully: rightfully
rightly: rightly
rigid: rigid
rill: rill
rim: rim
rima: rima
rip: rips
ripen: ripen
rise: rise,risen,rises,rising,rose
river: river,rivers
rivers: rivers
rivulet: rivulet,rivulets
road: road
roar: roar,roared
rob: robbed
robber: robber
robbery: robberies,robbery
robe: robed
robert: robert
rock: rock,rocks
rocky: rocky
rod: rod
roland: roland
roll: rolling
roman: roman,romans
romance: romance
rome: rome
root: root,roots
rope: ropes
rose: rose
rough: rough
roughly: roughly
rout: rout
route: routed
royal: royal
royalty: royalties,royalty
rubicon: rubicon
ruddy: ruddier,ruddy
rude: rude
rue: rue
rugged: rugged
ruin: ruin,ruined,ruins
rule: rule,ruled,rules
ruler: rulers
rump: rump
runner: runners
rush: rushed,rushing
russell: russell
rustic: rustic
sack: sack
sacrament: sacraments
sacred: sacred
sacrifice: sacrifice,sacrificed
sacristy: sacristy
sad: sad
sadden: saddens
sadness: sadness
safe: safe
safety: safety
sage: sage,sages
sail: sails
sailor: sailors
saint: saint,saints
saith: saith
sake: sake
saladin: saladin
salt: salt
salutation: salutation
salvation: salvation
san: san
sand: sand
sant: sant
santa: santa
saracens: saracens
sardinia: sardinia
sare: sare
satan: satan
sate: sated,sates
satirist: satirist
satisfactorily: satisfactorily
satisfactory: satisfactory
satisfied: satisfied
satisfy: satisfied,satisfy
saturday: saturday
saturn: saturn
sauce: sauces
savage: savage
save: save,saved,saves,saving
saviour: saviour
saxony: saxony
sayest: sayest
sayst: sayst
scab: scab,scabs
scale: scale,scales
scandal: scandal
scarce: scarce
scarp: scarped
scatter: scatter,scattered
scene: scene
scheme: scheme
schism: schism
scholar: scholar
scholarly: scholarly
scholastic: scholastic
school: school
scibile: scibile
science: science
scorch: scorched
scorched: scorched
scorn: scorn
scornful: scornful
scorpion: scorpion
scott: scott
scourge: scourge,scourged,scourges
scourger: scourgers
scramble: scramble
scrape: scrape
scratch: scratch,scratched,scratching
screen: screen
scrupulous: scrupulous
scuffle: scuffle
scullion: scullions
scum: scum
scurf: scurf
sea: sea
seal: seal,seals
search: search,searching
season: season
seat: seat,seated
secret: secret
secretary: secretary
secretly: secretly
sect: sect
secure: secure
securely: securely
sed: sed
seducer: seducers
seducers: seducers
seed: seed
seek: seek,seeking,sought
seize: seize,seized,seizes
seldom: seldom
select: selected
sell: selling
semblance: semblance
semiramis: semiramis
semper: semper
send: send,sending,sends
seneca: seneca
sense: sense
sensual: sensual
sentence: sentence,sentences
sentiment: sentiment
separate: separated,separates
september: september
sepulchre: sepulchre
ser: ser
seraphs: seraphs
serene: serene
serpent: serpent,serpents
servant: servant,servants
serve: serve,serving
service: service
set: set,sets,setting
settle: settled,settles
settlement: settlement
seventh: seventh
seville: seville
sextus: sextus
shade: shade
shades: shades
shadow: shadow
shaft: shaft
shag: shag
shaggy: shaggy
shake: shake,shaken,shaking,shook
shakespeare: shakespeare
shallow: shallow
shalt: shalt
shame: shame,shamed
shameful: shameful
shank: shanks
shape: shape,shaped,shapes
share: share,shared,shares,sharing
sharer: sharer
sharp: sharp
sharpen: sharpen,sharpened
sharply: sharply
shatter: shattered,shatters
shear: shorn
sheep: sheep
sheet: sheet
shelter: shelter,sheltered
shepherd: shepherd,shepherds
shield: shield
shift: shift,shifting
shine: shine,shines
ship: ship
shiver: shivering
shock: shock
shoemaker: shoemaker
shoot: shoot,shooting,shoots
shore: shore,shores
short: short,shorter
shorten: shortened
shortly: shortly
shot: shot
shoulder: shoulder,shoulders
shouldst: shouldst
shout: shouted,shouting
shriek: shrieks
shudder: shudder,shuddered,shuddering,shudders
shut: shut,shuts
shy: shy
sia: sia
sicilian: sicilian
sicily: sicily
sick: sick
siege: siege
siena: siena
sienese: sienese
sigh: sigh,sighing,sighs
sight: sight
sign: sign
signal: signal,signals
signet: signet
significance: significance
signification: significations
signify: signifies
silence: silence
silent: silent
silver: silver
silvius: silvius
simon: simon
simoniacal: simoniacal
simonist: simonists
simony: simony
simple: simple
simplicity: simplicity
simply: simply
simulacra: simulacra
sin: sin,sinned,sinning,sins
sinew: sinew
sinful: sinful
sing: sang,sing,singing,sings,sung
singed: singed
single: single
sink: sank,sink,sinking,sinks
sinner: sinner,sinners
sinners: sinners
sinon: sinon
sir: sir
sister: sister
sit: sat,sit,sits,sitting
sixth: sixth
size: size
skin: skin
skirt: skirts
skull: skull
sky: sky
slackness: slackness
slaughter: slaughter
slay: slain
sleep: sleep,sleeping,sleeps,slept
slew: slew
slight: slighted
slime: slime
slit: slit
slope: slope,slopes,sloping
sloth: sloth
slough: slough
slow: slow
slowly: slowly
sluggish: sluggish
slumber: slumber
smack: smacks
smear: smearing
smile: smile,smiled
smite: smites,smiting,smitten,smote
smith: smith
smoke: smoke,smoked,smoking
smooth: smooth
smoothly: smoothly
snail: snail
snake: snake,snakes
snap: snapped,snaps
snare: snares
snarl: snarls
snort: snorting
snout: snout
snow: snow
society: society
socrates: socrates
sodom: sodom
soft: soft
softly: softly
soil: soil
soldan: soldan
soldier: soldiers
sole: sole,soles
solicit: solicit
solicitation: solicitation
solid: solid
solitary: solitary
solve: solve,solved
somewhile: somewhile
son: son,sons
song: song
soothsayer: soothsayer,soothsayers
sorb: sorb
sorcerer: sorcerers
sorrow: sorrow,sorrows
sorrowful: sorrowful
sorrowing: sorrowing
sort: sorts
soul: soul,souls
sound: sound,sounded,sounding,sounds
source: source,sources
southern: southern
sovereign: sovereign
sow: sow,sowing
sower: sowers
sowers: sowers
sowing: sowing
space: space
spain: spain
spark: sparks
sparkle: sparkles
sparrowhawk: sparrowhawk
speak: spake,speak,speaking,speaks,spoke,spoken
