abate: abate,abated
element: element
elephant: elephant,elephants
ellipsis: ellipses
eloquent: eloquent
elude: eluded,eluding
email: email
embargo: embargo
embassy: embassy
embrace: embrace,embraced,embraces
embroider: embroidered
embroil: embroiled
embryo: embryo
eminent: eminent
emotion: emotion,emotions
emperor: emperor,emperors
empire: empire,empires
employ: employ,employed,employing
employee: employee,employees
employment: employment,employments
empress: empress
enable: enable,enabled,enables
enact: enacted,enacting
enclose: enclosed
enclosure: enclosures
encode: encoding
encomium: encomiums
encompass: encompassed
encounter: encounters
encourage: encouraged
encouraged: encouraged
encouragement: encouragement
encourager: encouragers
encrust: encrusted
encumbrance: encumbrance
endanger: endanger
endeavour: endeavour,endeavoured,endeavouring
endless: endless
endow: endowed
endowment: endowments
endue: endued
endure: endure
enemy: enemies,enemy
energy: energy
enforce: enforce,enforced
engage: engage,engaged
engaged: engaged
engagement: engagement
engender: engendered
engine: engine,engines
engineer: engineers
england: england
english: english
englishman: englishman,englishmen
engross: engross,engrossed
enjoin: enjoined
enjoy: enjoy,enjoyed,enjoying
enlarge: enlarge,enlarged
enliven: enlivened
enmity: enmity
ennoble: ennobled
enormity: enormities
enormous: enormous
enrich: enriched
enslave: enslaved
enslaving: enslaving
ensue: ensue,ensued
ensure: ensuring
enter: enter,entered,entering
enterprise: enterprise,enterprises
enterprising: enterprising
entertain: entertain,entertained,entertaining
entertained: entertained
entertaining: entertaining
entertainment: entertainment,entertainments
entire: entire
entitle: entitled
entity: entities,entity
entrance: entrance
entreat: entreat,entreated
entreaty: entreaties,entreaty
entrust: entrusted
entry: entry
enumerate: enumerated
envoy: envoy
envy: envy
epithet: epithet
equal: equal,equalled
equality: equality
equally: equally
equilateral: equilateral
equinox: equinox
equip: equipped
equipage: equipage
equipment: equipment
equitable: equitable
equity: equity
equivocate: equivocating
erase: erased
erect: erect,erected,erecting
erection: erection
errand: errand
erroneously: erroneously
error: error,errors
erudition: erudition
escape: escape,escaped
espalier: espalier
espy: espied
essence: essence
essential: essential
establish: established
establishment: establishment
estate: estate,estates
esteem: esteem,esteemed
esteemed: esteemed
etiam: etiam
etymology: etymology
europe: europe
european: european,europeans
evacuation: evacuation,evacuations
evade: evaded
evasion: evasion
evening: evening
event: event,events
everlasting: everlasting
evidence: evidence,evidences
evident: evident
evidently: evidently
evil: evil,evils
evince: evince
ewe: ewes
exact: exact
exactness: exactness
exalt: exalted
examination: examination
examine: examine,examined
examiner: examiner
exceed: exceed,exceeded,exceeding
exceedingly: exceedingly
excel: excel,excelled,excelling
excellence: excellences
excellency: excellencies,excellency
excellent: excellent
excelling: excelling
excess: excess
excessive: excessive
exchequer: exchequer
exclude: excluded
exclusion: exclusion
excrement: excrement,excrements
excusable: excusable
excuse: excuse,excused,excuses
execrable: execrable
execute: executed,executing
execution: execution
exempt: exempt,exempted
exercise: exercise,exercised,exercises,exercising
exert: exerting
exhale: exhale,exhaled
exhaust: exhausted
exhort: exhort,exhorted
exhortation: exhortation
exile: exile,exiles
exist: exists
existence: existence
expect: expect,expected,expecting
expectation: expectation
expedient: expedient,expedients
expedite: expedited
expedition: expedition
expend: expend
expense: expense,expenses
expensive: expensive
experience: experience,experienced
experienced: experienced
experiment: experiment,experiments
expert: expert
explain: explain,explained
explanation: explanation
explode: exploded
exploit: exploit,exploits
export: exporting
expose: expose,exposed,exposing
expostulate: expostulate,expostulated
expostulation: expostulations
express: express,expressed,expressing
expression: expression,expressions
expressive: expressive
expressly: expressly
extend: extend,extended,extending,extends
extended: extended
extent: extent
extenuate: extenuate,extenuated
extenuation: extenuation
exterminate: exterminated
external: external
extinct: extinct
extinguish: extinguish,extinguished,extinguishing
extort: extorted
extract: extract,extracted,extracting
extraordinary: extraordinary
extravagancy: extravagancies
extravagant: extravagant
extreme: extreme
extremely: extremely
extremity: extremities,extremity
eye: eye,eyes
eyebrow: eyebrow
fabulous: fabulous
facility: facility
faction: faction,factions
faculty: faculty
fail: fail,failed,fails
failure: failure
faint: faint
fair: fair,fairer,fairest
faith: faith
faithful: faithful
faithfully: faithfully
fall: fall,fallen,falling,falls,fell
fallen: fallen
falling: fallings
falls: falls
false: false
falsehood: falsehood
falsely: falsely
falsity: falsities
fame: fame
familiar: familiar
familiarity: familiarities
familiarized: familiarized
family: families,family
famine: famine
famish: famished
famous: famous
fan: fans
fancied: fancied
fancy: fancied,fancy
fangled: fangled
fare: fare
farewell: farewell
farm: farm
farmer: farmer,farmers
farth: farthest
farthing: farthing
fashion: fashion,fashions
fast: fast,fasted,faster
fasten: fasten,fastened,fastening
fasting: fasting
fat: fat
fatal: fatal
fate: fate
father: father,fathers
fatherless: fatherless
fatigued: fatigued
fault: fault,faults
faulty: faulty
favour: favour,favouring,favours
favourable: favourable
favourite: favourite
fawn: fawning
fear: fear,feared,fearing,fears
fearfulness: fearfulness
feat: feat,feats
feather: feathers
feature: feature,features
february: february
federal: federal
fee: fee,fees
feed: fed,feed,feeding
feeding: feeding
feel: feel,feeling
felicity: felicity
fell: felled
fellow: fellow,fellows
female: female,females
fence: fence,fenced
fencer: fencers
fertility: fertility
festival: festival
fetch: fetch
fetid: fetid
fetlock: fetlock
fetter: fetter
fever: fever
fiction: fiction
fiddle: fiddles
fiddler: fiddlers
fidelity: fidelity
field: field,fields
fierce: fierce,fiercest
fiercely: fiercely
fierceness: fierceness
fiery: fiery
fight: fight,fights,fought
figure: figure,figures
file: file,files
filth: filth
filthily: filthily
filthy: filthy
final: final
financial: financial
fine: fine,finer,finest
finely: finely
fineness: fineness
finery: finery
finger: finger,fingers
finish: finish,finished,finishes
firm: firm
firmly: firmly
firmness: firmness
fish: fish,fishes,fishing
fisherman: fisherman
fist: fist
fit: fit,fitted,fitter
fitness: fitness
flail: flail
flame: flame,flames
flank: flanked
flap: flap,flapped,flaps
flapper: flapper,flappers
flash: flashes
flat: flat
flatness: flatness
flatter: flattered
flatterer: flatterers
flattering: flattering
flatus: flatus
flee: fled
fleece: fleeces
fleet: fleet
flesh: flesh
flight: flight
flint: flint,flints
float: floated,floating
flock: flock,flocking
flood: flood
floor: floor,floors
florid: florid
flourish: flourish,flourished,flourishing
flow: flowing
flower: flowers
fluid: fluid
flurry: flurry
flute: flutes
flutter: flutter
flux: flux
fly: flew,flies,fly,flying
flying: flying
foal: foal,foals
fob: fob,fobs
fold: fold,folded,folds
folio: folio,folios
folk: folk,folks
follow: follow
follower: followers
folly: follies,folly
foment: fomented
fond: fond,fondest
fonder: fonder
fondle: fondling
fondness: fondness
food: food
fool: fool,fools
foolish: foolish
foot: feet,foot
footman: footman,footmen
footnote: footnotes
footstool: footstool
fop: fops
foppery: fopperies
forbear: forbear
forbid: forbid,forbidden,forbids
forboding: forboding
force: force,forced,forces,forcing
forcibly: forcibly
fore: fore
forefather: forefathers
forefoot: forefeet
forehead: forehead
foreign: foreign
foreigner: foreigner,foreigners
foremast: foremast
foremention: forementioned
forepaw: forepaws
foresight: foresight
forfeiture: forfeitures
forge: forge,forging
forgery: forgery
forget: forget,forgot,forgotten
forgetfulness: forgetfulness
forgive: forgive
fork: fork,forks
forlorn: forlorn
form: form,formed,forming,forms
formal: formal
formality: formality
format: format,formats
forsake: forsake,forsaken
forswear: forswearing
fort: fort
fortify: fortified
fortis: fortis
fortitude: fortitude
fortnight: fortnight
fortunate: fortunate
fortunately: fortunately
fortune: fortune,fortunes
forwards: forwards
foul: foul
foundation: foundation
founder: foundered,foundering
fountain: fountain,fountains
fours: fours
fourscore: fourscore
fourteen: fourteen
fourteenth: fourteenth
fourth: fourth,fourths
fowl: fowl,fowls
fox: fox
frailty: frailties
frame: frame,framed,frames
franca: franca
france: france
fraternity: fraternity
fraud: fraud
freckle: freckles
freedom: freedom
freely: freely
freethink: freethinking
freight: freight
french: french
frequent: frequent
frequently: frequently
fresh: fresh
friend: friend,friends
friendship: friendship
fright: fright,frighted
frighten: frighten
frightened: frightened
frightful: frightful
frisking: frisking
frizzle: frizzled
fro: fro
frog: frog,frogs
frolicsome: frolicsome
frontier: frontiers
froth: froth
frothy: frothy
frozen: frozen
fruit: fruit,fruits
fruitful: fruitful
fuel: fuel
fulsome: fulsome
fund: fund,funds
fundament: fundament
fundamental: fundamental
funeral: funeral
furious: furious
furiously: furiously
furnish: furnish,furnished
furnishing: furnishing
furniture: furniture
furred: furred
fury: fury
future: future
gain: gain,gained,gains
gait: gait
gale: gale
gall: gall
gallant: gallant,gallants
gallery: galleries,gallery
gallon: gallons
gallop: galloping
gamester: gamester,gamesters
gaming: gaming
gange: ganges
gap: gap
garden: garden,gardens
gardener: gardener,gardeners
gardening: gardening
garment: garments
garret: garret
gate: gate,gates
gather: gather,gathered
gaze: gaze,gazed,gazing
generation: generation,generations
generosity: generosity
generous: generous
genius: genius
gentle: gentle
gentleman: gentleman,gentlemen
gentleness: gentleness
gentlewoman: gentlewoman
gently: gently
gentry: gentry
geographer: geographers
geometrical: geometrical
geometry: geometry
george: george
german: german
gesture: gesture,gestures
ghastliness: ghastliness
ghost: ghost,ghosts
giant: giant,giants
gibbet: gibbet,gibbets
giber: gibers
giddiness: giddiness
gift: gift
gimlet: gimlet
girdle: girdle,girdles
girl: girl,girls
girt: girt
glad: glad
gladly: gladly
glass: glass,glasses
glimmering: glimmerings
globe: globe,globes
glorious: glorious
glory: glory
gloss: glossing
glove: gloves
glowing: glowing
glutinous: glutinous
goal: goals
goat: goats
god: god,gods
gold: gold
golden: golden
goodness: goodness
goose: geese,goose
gout: gout
govern: govern,governed,governing
governess: governess
governing: governing
government: government
governor: governor,governors
grace: grace,graces
graceful: graceful
gracious: gracious
graciously: graciously
gradation: gradations
gradual: gradual
gradually: gradually
grain: grain,grains
grammar: grammar
grand: grand
grandchild: grandchildren
grandee: grandee,grandees
grandeur: grandeur
grandfather: grandfather
grandmother: grandmother
grant: grant,granted
grasp: grasp
grass: grass
grate: grate,grating
gratefully: gratefully
gratify: gratify
gratis: gratis
gratitude: gratitude
grave: grave,graves
gravitation: gravitation
gravity: gravity
gray: gray
graze: graze,grazed,grazing
grease: greasing
greatness: greatness
greedily: greedily
greediness: greediness
greek: greek
green: green
greenland: greenland
greenwich: greenwich
greyhound: greyhound
grief: grief
grievance: grievances
grieving: grieving
grievous: grievous
grievously: grievously
grimace: grimaces
grin: grin,grinning
grind: grinding,ground
groan: groan,groaning,groans
groaning: groaning
groom: groom
groove: groove
grooved: grooved
gross: gross,grosser,grossest
ground: ground,grounded
groundless: groundless
grounds: grounds
grove: groves
grovel: groveling,grovelling
grow: grew,grow,growing,grown,grows
grown: grown
growth: growth
guard: guard,guards
guardian: guardians
gue: gue
guess: guess,guessed
guest: guest
guide: guide,guided,guides
guilt: guilt
guilty: guilty
guinea: guinea,guineas
guitar: guitars
gulliver: gulliver
gum: gums
gun: gun,guns
gunpowder: gunpowder
gut: guts
gutter: gutters
habit: habit,habits
habituate: habituate
hail: hail,hailed
hailstone: hailstone,hailstones
hair: hair,hairs
haired: haired
hairiness: hairiness
hairy: hairy
hall: hall
ham: hams
hammer: hammers
hammock: hammock
hamper: hampers
hand: hand,handed,hands
handicraft: handicrafts
handkerchief: handkerchief
handle: handle
handling: handling
handsome: handsome,handsomest
handy: handy
hang: hang,hanged,hanging,hung
hanger: hanger
hannibal: hannibal
happen: happen,happened,happening
happily: happily
happiness: happiness
happy: happiest,happy
harbour: harbour
hard: hard,harder
harden: harden
hardiness: hardiness
hardness: hardness
hardship: hardship,hardships
hardy: hardy
harm: harm
harmless: harmless
harness: harness
harp: harp,harps
harpsichord: harpsichords
hart: hart
harvest: harvest
haste: haste
hasten: hasten
hat: hat
hate: hate,hated
hateful: hateful
hatred: hatred
haul: haul,hauled
haunch: haunches
hautboy: hautboys
havoc: havoc
hay: hay
hazard: hazard,hazards
hazel: hazel
hazy: hazy
head: head,heads
health: health
healthy: healthy
heap: heap,heaps
hear: hear,heard,hearing
hearer: hearer
hearing: hearing
heart: heart
hearted: hearted
heartily: heartily
hearty: hearty
heat: heat,heated
heath: heath
heathen: heathen
heave: heaved
heavenly: heavenly
heaving: heaving
heavy: heavy
hectoring: hectoring
hedge: hedge
heel: heels
height: height
heir: heir,heirs
heliogabalus: heliogabalus
helm: helm
helmet: helmet
helot: helot
helpless: helpless
hemp: hemp
hempen: hempen
henceforth: henceforth
herb: herbs
herd: herd,herds
heresy: heresy
herman: herman
hermetically: hermetically
hero: heroes
hesitation: hesitation
hew: hewn
hide: hide,hides
hideous: hideous
hiding: hiding
highly: highly
highness: highness
highway: highway
highwayman: highwaymen
hill: hill,hills
hillock: hillock
hilt: hilt
hind: hind,hinds
hinder: hinder,hindered
hinge: hinges
hint: hint,hinted,hints
hire: hire,hired
historian: historian
historical: historical
history: histories,history
hit: hit
hitherto: hitherto
hoarse: hoarse
hobble: hobble
hobgoblin: hobgoblins
hog: hogs
hogshead: hogshead,hogsheads
hoist: hoisted
hold: held,hold,holding,holds
holder: holder
hole: hole,holes
holla: holla
holland: holland
hollander: hollander
hollanders: hollanders
hollow: hollow,hollowed
holy: holy
homer: homer
honest: honest
honesty: honesty
honey: honey
honour: honour,honoured
honourable: honourable
honourably: honourably
hoof: hoof,hoofs
hook: hook,hooks
hooked: hooked
hoop: hoop
hooped: hooped
hop: hop,hopped
hope: hope,hoped,hopes,hoping
hopeful: hopeful
horizon: horizon
horizontally: horizontally
horn: horns
horrible: horrible
horribly: horribly
horror: horror
horse: horse,horses
horseback: horseback
horseman: horseman
hosier: hosier
hospitable: hospitable
hospitably: hospitably
hospital: hospitals
hospitality: hospitality
hostile: hostile
hot: hot
hound: hound
hour: hour,hours
house: house,houses
housebreaker: housebreakers
household: household
houyhnhnm: houyhnhnm
hover: hovered,hovering
howl: howl,howled,howling
hue: hue,hues
hug: hug
huge: huge
hull: hull,hulling
hum: humming
human: human
humanity: humanity
humankind: humankind
humble: humble,humblest
humbly: humbly
humility: humility
humour: humour,humours
hung: hung
hunger: hunger
hungry: hungry
hunt: hunt
hunting: hunting
huntsman: huntsmen
hurry: hurried
hurt: hurt,hurting,hurts
husband: husband,husbands
husbandman: husbandman
husbandry: husbandry
hush: hushed
husk: husks
hut: huts
huzza: huzzas
hypocrisy: hypocrisy
ice: ice
icteric: icterics
idea: idea,ideas
identification: identification
identify: identify
idle: idle
idleness: idleness
idolatrous: idolatrous
idolatry: idolatry
ignominious: ignominious
ignominy: ignominy
ignorance: ignorance
ignorant: ignorant
iii: iii
illegal: illegal
illiterate: illiterate
illustrious: illustrious
image: image
imaginable: imaginable
imaginary: imaginary
imagination: imagination,imaginations
imagine: imagine,imagined,imagining
imbecility: imbecilities,imbecility
imitate: imitate,imitated,imitating
imitation: imitation
immense: immense
immoderate: immoderate
immortal: immortal,immortals
immunity: immunities
imp: imp
impair: impaired
impartially: impartially
impassable: impassable
impatience: impatience
impatient: impatient
impeachment: impeachment
impediment: impediment
impending: impending
imperfect: imperfect
imperfection: imperfections
imperfectly: imperfectly
imperial: imperial
impertinence: impertinence
implement: implements
imply: implied
import: imported,imports
importunate: importunate
impose: impose,imposed
impossible: impossible
impotent: impotent
impression: impression,impressions
imprimis: imprimis
imprison: imprison,imprisoned
imprisonment: imprisonment
improbable: improbable
impropriety: improprieties
improve: improve,improved,improving
improvement: improvement,improvements
imprudently: imprudently
impudence: impudence
impudently: impudently
impulse: impulse
imputation: imputation
impute: impute
imputed: imputed
inaccurate: inaccurate
inadvertence: inadvertence
incapable: incapable
incessant: incessant
incessantly: incessantly
incest: incest
inch: inch,inches
incident: incident
incidental: incidental
incite: incite,incited
incitement: incitement
inclemency: inclemencies
inclement: inclement
inclination: inclination,inclinations
incline: inclined,inclining
inclined: inclined
include: include,included,includes,including
including: including
incognito: incognito
incomplete: incomplete
inconsiderable: inconsiderable
inconsistently: inconsistently
inconstancy: inconstancy
inconvenience: inconvenience
inconveniency: inconveniency
inconvenient: inconvenient
increase: increase,increased,increasing
incredible: incredible
incur: incur,incurring
indemnify: indemnify
indemnity: indemnity
indian: indian,indians
indication: indication
indies: indies
indifference: indifference
indifferent: indifferent
indifferently: indifferently
indignation: indignation
indignity: indignity
indirect: indirect
indirectly: indirectly
indispose: indisposed
indisposition: indisposition
individual: individual
indocible: indocible
inducement: inducements
indulgence: indulgence
indulgent: indulgent
industry: industry
inevitably: inevitably
inexpressible: inexpressible
infallible: infallible
infallibly: infallibly
infamous: infamous
infamy: infamy
infancy: infancy
infant: infants
infected: infected
infection: infection
inferior: inferior,inferiors
infernal: infernal
infest: infest,infested
infinite: infinite
infinitely: infinitely
infirmity: infirmities,infirmity
infirmly: infirmly
inflame: inflamed
inflict: inflicted
influence: influence,influences
inform: inform,informed,informing,informs
informed: informed
informer: informer,informers
infringement: infringement
infuse: infused
ingenious: ingenious
ingeniously: ingeniously
ingenuity: ingenuity
ingratiate: ingratiate
ingratitude: ingratitude
ingredient: ingredients
inhabit: inhabit,inhabited
inhabitant: inhabitants
inhuman: inhuman
inhumanity: inhumanity
inimitable: inimitable
iniquitous: iniquitous
initial: initial
injure: injure,injured,injuring
injured: injured
injurious: injurious
injuriously: injuriously
injury: injuries,injury
injustice: injustice,injustices
ink: ink
inmost: inmost
inn: inn
innermost: innermost
innocence: innocence
innocent: innocent
innovation: innovation
innuendo: innuendo
innumerable: innumerable
inquire: inquire,inquired,inquires,inquiring
inquiry: inquiries,inquiry
inquisition: inquisition
inquisitive: inquisitive
inroad: inroads
insatiable: insatiable
insect: insect,insects
insert: insert,inserted
insight: insight
insignificant: insignificant
insinuate: insinuating
insinuation: insinuation
insipid: insipid
insist: insist,insisted
insolence: insolence
insolent: insolent
insomuch: insomuch
instance: instance
instant: instant
instigate: instigated
instinct: instinct
institute: instituted
institution: institution,institutions
instruct: instruct,instructed,instructing
instruction: instruction,instructions
instructor: instructor,instructors
instrument: instrument,instruments
instrumental: instrumental
insufficiency: insufficiency
insuperable: insuperable
insupportable: insupportable
insurrection: insurrection,insurrections
integrity: integrity
intellect: intellects
intellectual: intellectual,intellectuals
intelligence: intelligence
intelligible: intelligible
intemperance: intemperance
intend: intend,intended,intending
intended: intended
intense: intense
intent: intent
intention: intention,intentions
intercede: intercede,interceding
interchange: interchanged,interchanging
intercourse: intercourse
interfere: interfere
intermingle: intermingled
intermingled: intermingled
intermission: intermission,intermissions
internal: internal
international: international
interpolator: interpolator
interpose: interposed,interposing
interposition: interposition
interpret: interpret,interpreted
interpretation: interpretation,interpretations
interpreter: interpreter,interpreters
interpreting: interpreting
interrupt: interrupt,interrupted
interruption: interruption
interval: intervals
intervention: intervention
interwoven: interwoven
intestine: intestine
intimate: intimate
intolerable: intolerable
intolerably: intolerably
intrepidity: intrepidity
intrigue: intrigue
introduce: introduced
intromission: intromission
inundation: inundation
inure: inured
invade: invade,invading
invader: invader,invaders
invalidity: invalidity
invasion: invasion
invent: invent,invented
inventor: inventor
inventory: inventory
inviolable: inviolable
invisible: invisible
invitation: invitation
invite: invite,invited
involved: involved
iron: iron
irrational: irrational
irreconcilable: irreconcilable
irregular: irregular
irregularly: irregularly
irs: irs
island: island,islands
islands: islands
isle: isle
issue: issue,issued,issues
italian: italian,italians
iv: iv
ivory: ivory
ix: ix
jabber: jabber,jabbering
jackdaw: jackdaw
jail: jail
james: james
japan: japan
japanese: japanese
jargon: jargon
jealous: jealous
jealousy: jealousy
jerkin: jerkin
jet: jet
jewel: jewels
jewry: jewry
jig: jig
job: jobs
jockey: jockeys
john: john
johnny: johnny
joiner: joiner
joint: joint,joints
jointure: jointures
jolt: jolt,jolts
jonathan: jonathan
jostle: jostle
journal: journal
journey: journey,journeys
joy: joy
judge: judge,judges
judgment: judgment,judgments
judicature: judicature
judicial: judicial
judicious: judicious
juice: juice,juices
juicy: juicy
jump: jumped,jumps
juncture: juncture
june: june
junius: junius
junto: junto
jury: jury
justest: justest
justice: justice
justiciary: justiciary
justifiable: justifiable
justification: justification
justified: justified
justify: justified,justify
justle: justled,justling
justly: justly
justness: justness
jut: jutting
keen: keen
keeper: keeper
kennel: kennel,kennels
kentish: kentish
kettle: kettles
key: key
kick: kick
kill: kill,killed,kills
kindle: kindle,kindled
kindly: kindly
kindness: kindness
kindred: kindred
king: king,kings
kingdom: kingdom,kingdoms
kingly: kingly
kinsman: kinsman
kiss: kiss,kissed,kissing
kitchen: kitchen
kite: kite
kitten: kitten,kittens
knave: knave,knaves
knee: knee,knees
kneel: kneeled
knife: knife,knives
knitting: knitting
knock: knocked,knocking
knot: knot,knotted
knowledge: knowledge
laborious: laborious
labour: labour,labouring,labours
labourer: labourers
lackey: lackeys
lad: lad,lads
ladder: ladder,ladders
laden: laden
lading: lading
lady: ladies,lady
ladyship: ladyship
lake: lake
lamb: lamb,lambs
lame: lame,lamed
lament: lament,lamented,lamenting
lamenting: lamenting
lamp: lamps
land: land,landed,lands
landing: landing
landlord: landlord
lane: lane,lanes
language: language,languages
laniard: laniard
lank: lank
lap: lap,lapped
lappet: lappet,lappets
laputa: laputa
larboard: larboard
largeness: largeness
lark: lark
lastly: lastly
late: late
lather: lather
latin: latin
latins: latins
latitude: latitude
latitudes: latitudes
lattice: lattice,latticed,lattices
laudable: laudable
laugh: laugh,laughed,laughing
laughter: laughter
lavender: lavender
law: law,laws
lawfully: lawfully
lawn: lawn
lawsuit: lawsuits
lawyer: lawyer,lawyers
laxative: laxatives
lay: laid,lay,laying,lays
lazy: lazy
lead: lead,leading,leads,led
leader: leader,leaders
leading: leading
leaf: leaf,leaves
league: league,leagues
leak: leak,leaking,leaks
leaky: leaky
lean: lean,leaning
leap: leap,leaped,leaping
learn: learn,learned,learning,learnt
learning: learning
lease: lease,leases
leather: leather
leathern: leathern
leave: leave,leaves,leaving,left
lecture: lectures
ledge: ledges
lee: lee
leeward: leeward
left: left
leg: leg,legs
legal: legal
legally: legally
legislative: legislative
legislator: legislator
legislature: legislature
leisure: leisure
lemon: lemon
lemuel: lemuel
lend: lend,lent
lenitive: lenitives
lenity: lenity
lessen: lessen,lessened
lessening: lessening
lesson: lesson,lessons
letter: letter,letters
levant: levant
levee: levee,levees
level: level
levy: levied
lewd: lewd
lewdness: lewdness
leyden: leyden
liability: liability
liable: liable
libel: libelling,libels
liberal: liberal
libertine: libertine
liberty: liberties,liberty
libidinous: libidinous
library: libraries,library
lice: lice
license: license
licensed: licensed
licentiousness: licentiousness
lick: lick,licked
lie: lie,lies,lying
lieu: lieu
life: life,lives
lift: lift,lifted,lifting,lifts
ligature: ligatures
light: light
lightning: lightning
lilliput: lilliput
lilliputian: lilliputian,lilliputians
limb: limb,limbs
limit: limited,limits
limitation: limitation
limited: limited
limpet: limpets
lineage: lineages
lineally: lineally
lineament: lineament,lineaments
linen: linen
lingua: lingua
link: linked,links
linnet: linnet
lip: lip,lips
liquid: liquid,liquids
liquor: liquor,liquors
lisbon: lisbon
listen: listen,listened
listless: listless
literally: literally
literary: literary
literature: literature
littleness: littleness
live: live,lived,lives,living
livelihood: livelihood
liverpool: liverpool
livery: livery
living: living
load: load,loaded,loading,loads
loadstone: loadstone
loaf: loaves
loathing: loathing
loathsome: loathsome
local: local
locate: located
location: locations
lock: lock,locked
lodge: lodge,lodged,lodges
lodging: lodging
lodgings: lodgings
lofty: lofty
logwood: logwood
loin: loins
london: london
longitude: longitude,longitudes
loose: loose
loosen: loosened,loosens
lord: lord,lords
lordship: lordship
lose: lose,lost
loser: losers
loss: loss,losses
lot: lot,lots
loud: loud,louder
louse: louse
love: love,loved,loving
lover: lover,lovers
lucid: lucid
luck: luck
luckily: luckily
lucky: luckiest,lucky
lug: lug
luggage: luggage
luggnagg: luggnagg
luminary: luminaries
lump: lump
lung: lungs
lurk: lurking
lust: lust
lusus: lusus
luxurious: luxurious
luxury: luxury
lying: lying
machine: machine,machines
mad: mad
madagascar: madagascar
madness: madness
magic: magic
magician: magicians
magistrate: magistrate,magistrates
magnanimous: magnanimous
magnet: magnet
magnetic: magnetic
magnificence: magnificence
magnificent: magnificent
magnificently: magnificently
magnify: magnify
magnifying: magnifying
magnitude: magnitude
maid: maid,maids
maim: maimed,maims
main: main
mainmast: mainmast
mainsail: mainsail
maintain: maintain,maintained,maintaining
maintenance: maintenance
majestic: majestic
majesty: majesties,majesty
majority: majority
maker: maker,makers
malady: maladies,malady
male: male,males
malefactor: malefactor
malice: malice
malicious: malicious
maliciously: maliciously
maligner: maligners
malignity: malignity
malleability: malleability
mamma: mamma
manage: manage,managed,managing
management: management
manager: manager,managers
mane: manes
manger: manger,mangers
manhood: manhood
manifest: manifest
manifestly: manifestly
mankind: mankind
manned: manned
manner: manner
manners: manners
mannikin: mannikin
manufacture: manufacture,manufactures
manure: manuring
manuscript: manuscript
map: map,maps
marble: marble
march: march
mare: mare,mares
mariner: mariner,mariners
maritime: maritime
mark: mark,marked,marking,marks
market: market,markets
marquis: marquis,marquises
marriage: marriage,marriages
marriageable: marriageable
married: married
marrow: marrow
marry: married,marries,marry
mars: mars
marsi: marsi
mary: mary
masculine: masculine
mash: mash
mass: mass
massacre: massacres
massy: massy
mast: mast,masts
master: master,masters
mastiff: mastiff
mat: mat,mats
match: match
mate: mates
material: material,materials
mathematical: mathematical
mathematician: mathematicians
mathematics: mathematics
matron: matron
matter: matter,matters
mature: mature
maturely: maturely
maturity: maturity
maxim: maxim,maxims
maximum: maximum
meadow: meadow,meadows
meagre: meagre
meal: meal,meals
meaning: meaning,meanings
meanness: meanness
measure: measure,measured,measures
meat: meat,meats
mechanic: mechanic,mechanics
mechanical: mechanical
mechanically: mechanically
meddle: meddle
medicine: medicine,medicines
meditate: meditating
medium: medium
meet: meet,meeting,meets,met
meeting: meeting
melancholy: melancholy
memoirs: memoirs
memorandum: memorandums
memorial: memorial,memorials
memory: memories,memory
mend: mend
menial: menial
mention: mention,mentioned,mentioning
mercenary: mercenary
merchant: merchant,merchants
merchantability: merchantability
merchantman: merchantman
merciful: merciful
mercurial: mercurial
mercy: mercy
mere: mere
merit: merit,merits
merrily: merrily
merry: merry
message: message
messenger: messenger
metal: metal,metals
metamorphose: metamorphosed
method: method,methods
metropolis: metropolis
michael: michael
microscope: microscope
mid: mid
middle: middle
midnight: midnight
midst: midst
mighty: mighty
mild: mild,mildest
mildly: mildly
mile: mile,miles
military: military
militia: militia
milk: milk,milked
mimic: mimicked
mince: minced
mind: mind,minds
mineral: mineral,minerals
mingle: mingled,mingling
miniature: miniature
minion: minion
minister: minister,ministers
ministry: ministry
minute: minute,minutes
minuteness: minuteness
mirth: mirth
miscarry: miscarried,miscarry
mischief: mischief
mischievous: mischievous
miser: miser
miserable: miserable
miserably: miserably
misery: miseries,misery
misfortune: misfortune,misfortunes
mislead: misled
misrepresent: misrepresented
mission: mission
mississippi: mississippi
missive: missive
mistake: mistake,mistaken,mistakes
mistaken: mistaken
mistress: mistress,mistresses
mix: mix
mixture: mixture
mizen: mizen
mock: mock
mode: mode
model: model
moderation: moderation
modern: modern
modest: modest
modesty: modesty
modification: modification
modify: modified
moidore: moidores
mole: mole
moll: moll
molucca: molucca
moment: moment
momentous: momentous
monarch: monarch,monarchs
monarchs: monarchs
monarchy: monarchy
money: money
monkey: monkey,monkeys
monsoon: monsoon
monster: monster,monsters
monstrous: monstrous
month: month,months
monthly: monthly
monument: monument,monuments
mood: moods
moon: moon,moons
moonshine: moonshine
moral: moral,morals
moralist: moralists
morality: morality
morning: morning
morose: morose
moroseness: moroseness
morsel: morsel
mortal: mortal,mortals
mortals: mortals
mortification: mortification
mortified: mortified
mortify: mortified
mortifying: mortifying
mother: mother,mothers
motion: motion,motions
motive: motive,motives
mould: mould
mount: mount,mounted,mounting,mounts
mountain: mountain,mountains
mountainous: mountainous
mouse: mice,mouse
mouth: mouth,mouths
mouthful: mouthful,mouthfuls
movable: movable
moveable: moveable
movingly: movingly
mud: mud
mule: mule,mules
