abandon: abandoned,abandons
elementary: elementary
elias: elias
eligible: eligible
eliminate: eliminated
emaciation: emaciation
email: email
embankment: embankment
embarrass: embarrassed
embellish: embellish
emerald: emerald
emerge: emerge,emerged
emigrant: emigrant
emigrate: emigrated
emotion: emotion,emotions
empire: empire
employ: employ,employed,employing,employs
employee: employee,employees
employer: employer,employers
employment: employment
en: en
enable: enable,enabled,enables
encamp: encamp
encircle: encircled
enclosure: enclosure
encode: encoding
encompass: encompass
encourage: encourage
encouraging: encouraging
endeavour: endeavour,endeavoured,endeavouring
endless: endless
endure: endured
enemy: enemies,enemy
energetic: energetic
energy: energy
engage: engage,engaged,engaging
engaged: engaged
engagement: engagement
engine: engine,engines
engineer: engineer,engineers
england: england
english: english
englishman: englishman
engrave: engraved
enigmatical: enigmatical
enjoy: enjoy,enjoyed
enlarge: enlarged
ennui: ennui
enormous: enormous
ensue: ensue,ensued
ensure: ensuring
entail: entailed
entangle: entangled
enter: enter,entered,entering,enters
enterprise: enterprise
entertaining: entertaining
enthusiasm: enthusiasm
enthusiastic: enthusiastic
entire: entire
entitle: entitles
entity: entity
entrance: entrance
entreat: entreated
entreaty: entreaties
entry: entries,entry
envelope: envelope
enwrapped: enwrapped
epicurean: epicurean
episode: episode,episodes
epistle: epistle
equal: equal,equalled
equality: equality
equally: equally
equinoctial: equinoctial
equipment: equipment
ere: ere
erect: erect,erected
err: erred
errand: errand
erroneous: erroneous
error: error,errors
escapade: escapade
escape: escape,escaped,escaping
escort: escort,escorted
essence: essence
essential: essential
establish: establish,established
establishment: establishment
estate: estate,estates
estimate: estimate
eton: eton
europe: europe
european: european
eustace: eustace
evening: evening,evenings
event: event,events
eventually: eventually
everyday: everyday
evidence: evidence
evident: evident
evidently: evidently
evil: evil
evolve: evolve,evolved
exact: exact,exacted
exacting: exacting
exactness: exactness
exaggerated: exaggerated
exalt: exalted
examination: examination
examine: examine,examined,examining
excavate: excavating
exceed: exceeded,exceeding
exceedingly: exceedingly
excellent: excellent
exception: exception
exceptional: exceptional
exceptionally: exceptionally
excessive: excessive
exchange: exchange,exchanged,exchanging
excitable: excitable
excited: excited
excitedly: excitedly
excitement: excitement
exciting: exciting
exclaim: exclaimed
exclamation: exclamation
exclude: exclude,excluded
exclusion: exclusion
excursion: excursion
excuse: excuse,excuses
execution: execution
exempt: exempt
exercise: exercise,exercising
exert: exert
exhibit: exhibited
exhilarate: exhilarating
exist: exists
existence: existence
exit: exit
expect: expect,expected,expecting
expectancy: expectancies,expectancy
expedition: expedition
expend: expend
expenditure: expenditure
expense: expense,expenses
expensive: expensive
experience: experience,experienced,experiences
expire: expired,expiring
explain: explain,explained,explaining,explains
explanation: explanation,explanations
explore: explore
export: exporting
expose: exposed
expostulate: expostulating
exposure: exposure
expound: expound
express: express,expressed
expression: expression,expressions
expressive: expressive
expressly: expressly
exquisite: exquisite
extend: extend,extended,extending
extended: extended
extent: extent
extinguish: extinguished,extinguishes
extra: extra
extract: extracts
extraordinary: extraordinary
extreme: extreme
extremely: extremely
extremity: extremity
eye: eye,eyes
eyebrow: eyebrows
eyed: eyed
eyeglass: eyeglasses
fabrication: fabrication
faced: faced
facet: facet
facilitate: facilitate
facility: facility
factor: factor
factory: factories,factory
faculty: faculties
fad: fad,fads
faddy: faddy
fade: fade,faded
fag: fagged
fail: fail,failed,failing
fain: fain
faint: faint,fainted,fainting
fainting: fainting
faintly: faintly
fair: fair,fairer
fait: fait
faith: faith
faithfully: faithfully
fall: fall,fallen,falling,falls,fell
false: false
familiar: familiar
family: families,family
famished: famished
famous: famous
fanciful: fanciful
fancy: fancier,fancies,fancy
fang: fangs
fanlight: fanlight
fantastic: fantastic
fare: fare
farewell: farewell
farm: farm,farms
farmhouse: farmhouse
farth: farthest
farthing: farthing
fascinating: fascinating
fascination: fascination
fashion: fashion
fashionable: fashionable
fashioned: fashioned
fast: fast,faster
fasten: fasten,fastened,fastening
fastener: fasteners
fat: fat,fattest
fatal: fatal
fatally: fatally
fate: fate
father: father
fathom: fathom,fathomed
fatigued: fatigued
fatten: fattened
fault: fault,faults
favour: favour,favoured
favourable: favourable
favourably: favourably
fear: fear,feared,fears
fearless: fearless
feasible: feasible
feat: feat
feather: feather,feathers
feature: feature,features
featureless: featureless
february: february
federal: federal
fee: fee,fees
feeble: feeble
feed: fed,feed
feel: feel,feeling
feeling: feeling,feelings
feign: feigned
fellow: fellow,fellows
felony: felony
feminine: feminine
ferguson: ferguson
ferocious: ferocious
ferret: ferret
fess: fess
festivity: festivities
fetch: fetch
fever: fever
fiction: fiction
fidelity: fidelity
fidget: fidgeted
field: field,fields
fierce: fierce
fiercely: fiercely
fiery: fiery
fight: fight,fighting,fought
figure: figure,figured,figures
file: file,filed,files
filial: filial
filthy: filthy
final: final
finally: finally
financial: financial
financier: financier
finder: finder
fine: fine,finer,finest
finely: finely
finger: finger,fingers
fingertip: fingertips
finish: finish,finished
finns: finns
firelight: firelight
fireman: firemen
fireplace: fireplace
firm: firm
firmly: firmly
firmness: firmness
fish: fish,fished,fishes
fist: fists
fit: fit,fits,fitted
fitness: fitness
fitting: fitting
fiver: fiver
flag: flag,flagged,flags
flame: flame,flames,flaming
flaming: flaming
flap: flap,flapped
flare: flare,flaring
flash: flash,flashed,flashing
flat: flat,flatter
flatten: flattened,flattening
flatter: flattered
flattered: flattered
flaubert: flaubert
flaw: flaw
fleck: flecked
flee: fled
fleecy: fleecy
fleet: fleet
fleeting: fleeting
flesh: flesh
fleshless: fleshless
flick: flicked,flicking
flicker: flickering
flight: flight
fling: flung
flirt: flirting
flit: flitted
float: floating
flock: flock
flood: flood
floor: floor
flooring: flooring
flora: flora
florid: florid
florida: florida
flourish: flourished
flow: flowing
flower: flowers
fluffy: fluffy
flurried: flurried
flush: flush,flushed,flushing
flutter: fluttered
fly: flew,flies,fly,flying
focus: focus
fog: fog,fogs
foil: foil
fold: fold,folded,folding
foliage: foliage
folk: folk,folks
follow: follow
folly: folly
fond: fond,fonder
fondness: fondness
food: food
fool: fool,fools
foolish: foolish
foolishly: foolishly
foolscap: foolscap
foot: feet,foot
footfall: footfall,footfalls
footing: footing
footman: footman,footmen
footmark: footmarks
footpath: footpath,footpaths
footstep: footsteps
foppishness: foppishness
forbid: forbid,forbidden,forbidding
force: force,forced,forces
forceps: forceps
forearm: forearm
foreboding: forebodings
forecastle: forecastle
forefinger: forefinger,forefingers
forehead: forehead
foreign: foreign
foreigner: foreigner
foreman: foreman
foremost: foremost
foresee: foresaw,foresee,foreseen
foresight: foresight
forestall: forestalling
foretell: foretold
forfeit: forfeit
forger: forger
forgery: forgery
forget: forget,forgot,forgotten
forgetfulness: forgetfulness
forgive: forgive,forgiven
forgiveness: forgiveness
forgo: forgo
form: form,formed,forming
formality: formalities
format: format,formats
formidable: formidable
fort: forts
fortnight: fortnight
fortunate: fortunate
fortunately: fortunately
fortune: fortune,fortunes
foul: foul
foundation: foundation
founder: founder
fountain: fountain
fourteen: fourteen
fourteenth: fourteenth
fourth: fourth
fowl: fowl,fowls
fowler: fowler
fragment: fragment
frame: frame,framed
framework: framework
france: france
franchise: franchise
francis: francis
francisco: francisco
franco: franco
frank: frank
frankly: frankly
frantic: frantic
frantically: frantically
fraud: fraud
fray: frayed
freak: freak
freckle: freckled
freedom: freedom
freely: freely
freemason: freemason
freemasonry: freemasonry
french: french
frenchman: frenchman
frenzy: frenzy
frequent: frequent
frequently: frequently
fresh: fresh
fresno: fresno
friday: friday
friend: friend,friends
friendly: friendly
friendship: friendship
fright: fright
frighten: frighten,frightened
frightened: frightened
frightful: frightful
frill: frill
fringe: fringe,fringed
frisco: frisco
fritz: fritz
fro: fro
frock: frock
frog: frogged
frost: frost
frosted: frosted
frosty: frosty
frown: frowning
fruit: fruits
fruitless: fruitless
fugitive: fugitives
fulfil: fulfil,fulfilled
fulfilment: fulfilment
fumble: fumbled
fume: fumes
fund: fund,funds
funniest: funniest
funny: funny
fur: fur
furiously: furiously
furnish: furnish,furnished,furnishes
furnished: furnished
furniture: furniture
furtive: furtive
fury: fury
fuss: fuss
future: future
gable: gables
gain: gain,gained,gaining
gainer: gainer
gaiter: gaiters
gale: gale,gales
gallop: gallop
gallows: gallows
galvanise: galvanised
gambler: gambler
game: game
gang: gang
gaol: gaol
gap: gap
gape: gaped,gaping
garden: garden
garment: garment,garments
gas: gas
gash: gash
gaslight: gaslight
gasogene: gasogene
gasp: gasped
gate: gate,gates
gather: gather,gathered,gathering
gathering: gathering
gaunt: gaunt
gaunter: gaunter
gaze: gaze,gazed,gazing
gazette: gazette
gazetteer: gazetteer
gear: gear
gem: gem,gems
generation: generation,generations
generous: generous
genial: genial
geniality: geniality
genii: genii
genteel: genteel
gentle: gentle
gentleman: gentleman,gentlemen
gentlemanly: gentlemanly
gently: gently
geology: geology
george: george
georgia: georgia
german: german,germans
gesellschaft: gesellschaft
gesticulate: gesticulating
gesture: gesture
ghastly: ghastly
ghost: ghost
giant: giant
gibe: gibe
gift: gift
gigantic: gigantic
gilt: gilt
gin: gin
gipsy: gipsies,gipsy
girl: girl,girls
girt: girt
glad: glad
glade: glade
gladstone: gladstone
glamour: glamour
glance: glance,glanced,glances,glancing
gland: glands
glare: glare,glared,glaring
glass: glass,glasses
gleam: gleam,gleaming
glide: glided
glimmer: glimmer,glimmered
glimpse: glimpse,glimpses
glint: glint,glints
glisten: glisten
glitter: glitter
globe: globe
gloom: gloom
gloomily: gloomily
gloomy: gloomy
gloss: gloss
glossy: glossy
glove: glove,gloves
glow: glow,glowing
goad: goading
goal: goals
god: god
godfrey: godfrey
gold: gold
golden: golden
gong: gong
goodness: goodness
goodwill: goodwill
goose: geese,goose
gordon: gordon
gospel: gospel
gossip: gossip,gossiping,gossips
govern: govern
governess: governess,governesses
government: government
gown: gown
grab: grabs
grace: grace
graceful: graceful
gracious: gracious
gradually: gradually
grain: grain
grand: grand
grandfather: grandfather
grant: granted,granting
gras: gras
grasp: grasp,grasped,grasping
grass: grass
grate: grate,grating
grateful: grateful
gratefully: gratefully
gratitude: gratitude
grave: grave,graver
gravel: gravel
gravely: gravely
gravity: gravity
greasy: greasy
greatcoat: greatcoat
green: green
greengrocer: greengrocer
greenwich: greenwich
greet: greet,greeting
greeting: greeting
grey: grey
greyish: greyish
grice: grice
grief: grief
grievance: grievance
grieve: grieved
grievous: grievous
grim: grim
grime: grime
grimly: grimly
grin: grin,grinned,grinning
grind: grind
grinder: grinder
grip: grip,gripping
grit: grit
gritty: gritty
grizzle: grizzled
grizzled: grizzled
groan: groan,groaned
groom: groom,groomed
grope: groping
gross: gross
grotesque: grotesque
ground: ground
grounds: grounds
grove: grove
grow: grew,grow,growing,grown
grown: grown
gruff: gruff
guard: guard
guardianship: guardianship
guardsman: guardsmen
guess: guess,guessed
guidance: guidance
guide: guide
guilt: guilt
guilty: guilty
guinea: guinea,guineas
gullet: gullet
gulp: gulp
gum: gum
gummed: gummed
gun: gun
gush: gush,gushes
gutter: guttering
ha: ha
habit: habit,habits
hack: hacked
hafiz: hafiz
haggard: haggard
hague: hague
hail: hail,hailed
hair: hair
haired: haired
halfway: halfway
halifax: halifax
hall: hall
hammer: hammered
hampshire: hampshire
hand: hand,handed,handing,hands
handcuffs: handcuffs
handed: handed
handedness: handedness
handkerchief: handkerchief,handkerchiefs
handle: handle,handled,handling
handling: handling
handsome: handsome
handwriting: handwriting
handy: handy
hang: hang,hanged,hanging,hangs,hung
hanover: hanover
hansom: hansom,hansoms
happen: happen,happened,happening
happily: happily
happiness: happiness
happy: happy
hard: hard,hardest
harden: hardened
hardened: hardened
hardihood: hardihood
hardy: hardy
hare: hare
harm: harm
harmless: harmless
harmonium: harmonium
harmony: harmony
harness: harness
harris: harris
harrow: harrow
harsh: harsh
harshly: harshly
hart: hart
harvest: harvest
hasp: hasp
haste: haste
hasten: hastened,hastening
hastily: hastily
hat: hat,hats
hate: hate,hated
hatty: hatty
haul: hauling
hawk: hawk
hay: hay
hazard: hazarded
haze: haze
head: head,headed,heading,heads
headache: headache
headed: headed
headgear: headgear
heading: heading,headings
headstrong: headstrong
health: health
healthy: healthy
heap: heap,heaped
hear: hear,heard,hearing,hears
hearing: hearing
heart: heart,hearts
hearted: hearted
heartily: heartily
heartless: heartless
hearty: hearty
heated: heated
heather: heather
heaven: heaven,heavens
heavily: heavily
heaving: heaving
heavy: heavier,heavy
hebrew: hebrew
hedge: hedge,hedges
heed: heed
heel: heel,heels
heelless: heelless
heh: heh
height: height
heinous: heinous
heir: heirs
heiress: heiress
helen: helen
hellish: hellish
helper: helper
helpless: helpless
henry: henry
herald: herald
hercules: hercules
herd: herd
hereditary: hereditary
hereford: hereford
heroic: heroic
hesitate: hesitate,hesitated,hesitating
hesitation: hesitation
hidden: hidden
hide: hide
hideous: hideous
highly: highly
highness: highness
highway: highway
hill: hill,hills
hinder: hinders
hindrance: hindrance
hinge: hinges
hint: hint,hinted,hinting
hire: hired
hiss: hiss
history: history
hit: hit
hitherto: hitherto
hoard: hoard
hoarse: hoarse
hoarsely: hoarsely
hoax: hoax
hobby: hobbies,hobby
hold: held,hold,holding
holder: holder
hole: hole,holes
holiday: holiday
holland: holland
hollow: hollow,hollowed
holmes: holmes
homely: homely
homestead: homesteads
homeward: homeward
honest: honest
honeymoon: honeymoon
honour: honour
honourable: honourable
hood: hood
hoof: hoofs
hook: hook
hope: hope,hoped,hopes,hoping
hopeful: hopeful
hopeless: hopeless
horace: horace
horner: horner
horrible: horrible
horribly: horribly
horrid: horrid
horrify: horrify
horror: horror,horrors
horse: horse,horses
horsey: horsey
hospital: hospital
hospitality: hospitality
host: host
hot: hot
hotel: hotel,hotels
hound: hound
hour: hour,hours
house: house,houses
household: household
housekeeper: housekeeper
housemaid: housemaid
hover: hover
howl: howl,howling
hubbub: hubbub
huddle: huddled
hudson: hudson
huffed: huffed
hug: hugged
huge: huge
hugh: hugh
hullo: hullo
hum: hum,humming
human: human
humanity: humanity
humble: humble,humbler
humdrum: humdrum
humiliation: humiliation
humour: humour,humours
humoured: humoured
hungrily: hungrily
hungry: hungry
hunt: hunt,hunted,hunting
hunter: hunter
hunting: hunting
hurl: hurled,hurling
hurried: hurried
hurriedly: hurriedly
hurry: hurried,hurry,hurrying
hurt: hurt,hurts
husband: husband
hush: hush,hushing
hyde: hyde
hydraulic: hydraulic
hydraulics: hydraulics
hydrochloric: hydrochloric
hypothesis: hypothesis
hysterical: hysterical
ice: ice
idea: idea,ideas
ideal: ideal
identical: identical
identification: identification
identify: identified,identify
identity: identity
idiot: idiot
idle: idle
idler: idler
ignorance: ignorance
ignorant: ignorant
iii: iii
illegal: illegal
illegally: illegally
illness: illness
illuminate: illuminated
illustrate: illustrate,illustrated
illustrious: illustrious
imagination: imagination
imagine: imagine
imbecile: imbecile
imbecility: imbecility
imbed: imbedded
imitate: imitate,imitated
immense: immense
immensely: immensely
imminent: imminent
impassable: impassable
impatience: impatience
impatient: impatient
impatiently: impatiently
impending: impending
imperial: imperial
imperil: imperilled
impersonal: impersonal
impertinent: impertinent
imperturbably: imperturbably
impetuous: impetuous
implacable: implacable
implicate: implicate,implicated,implicates,implicating
implicit: implicit
implore: implore,implored,imploring
imply: implied,implies,imply
importer: importers
impose: imposed,imposing
impossibility: impossibility
impossible: impossible
impress: impressed
impressed: impressed
impression: impression,impressions
impressive: impressive
imprison: imprisoned
imprisonment: imprisonment
improbability: improbabilities
improbable: improbable
improve: improved,improving
improvisation: improvisations
imprudence: imprudence
imprudently: imprudently
impulse: impulse
impulsive: impulsive
impulsively: impulsively
impunity: impunity
inaccurate: inaccurate
inadequate: inadequate
inarticulate: inarticulate
incalculable: incalculable
incapable: incapable
incarnate: incarnate
inception: inception
inch: inches
incident: incident,incidents
incidental: incidental
incisive: incisive
incite: incites
incline: inclined
inclined: inclined
include: include,included,includes,including
including: including
incognito: incognito
incoherent: incoherent
income: income
incomplete: incomplete
inconsequential: inconsequential
inconvenience: inconvenience
incorrigible: incorrigible
increase: increased,increasing
incredible: incredible
incredulity: incredulity
incriminate: incriminate
indebted: indebted
indemnify: indemnify
indemnity: indemnity
independent: independent
india: india
indian: indian,indians
indication: indication,indications
indifferent: indifferent
indignation: indignation
indirect: indirect
indirectly: indirectly
indiscreetly: indiscreetly
indiscretion: indiscretion
indisposition: indisposition
indistinguishable: indistinguishable
individual: individual
individuality: individuality
indoor: indoors
indoors: indoors
induce: induce
indulge: indulge,indulged
indulgently: indulgently
inexorable: inexorable
inexplicable: inexplicable
inextricable: inextricable
infer: infer,inferred
inference: inference,inferences
infernal: infernal
infinite: infinite
infinitely: infinitely
infirmity: infirmity
inflamed: inflamed
inflict: inflicted
influence: influence
inform: inform,informed,informing
informality: informality
infringement: infringement
ingenious: ingenious
ingenuity: ingenuity
inhabit: inhabited
inherit: inherit
inheritance: inheritance
inimitably: inimitably
initial: initials
injection: injections
injunction: injunction
injure: injured,injuring
injured: injured
injury: injuries,injury
injustice: injustice
ink: ink
inn: inn
innocence: innocence
innocent: innocent
inquest: inquest
inquire: inquire,inquired,inquiring
inquirer: inquirer
inquiry: inquiries,inquiry
insane: insane
insanely: insanely
inscrutable: inscrutable
insect: insects
insensibility: insensibility
insensibly: insensibly
insight: insight
insinuate: insinuating
insist: insist,insisted,insists
insolence: insolence
inspect: inspect
inspection: inspection
inspector: inspector
inspire: inspiring
instance: instance
instant: instant
instantly: instantly
instep: instep
instinct: instinct,instincts
institute: instituted
instruction: instruction,instructions
instructive: instructive
instrument: instrument
insufficient: insufficient
insult: insult
intellectual: intellectual
intelligence: intelligence
intelligent: intelligent
intend: intend,intended
intense: intense
intensify: intensified
intensity: intensity
intention: intention,intentions
intently: intently
interfere: interfere
interim: interim
interject: interjected
internal: internal
international: international
interpose: interposed
interpret: interpreted
interrupt: interrupt,interrupted
interruption: interruption
interval: intervals
interview: interview
intimacy: intimacy
intimate: intimate
intricate: intricate
intrigue: intrigue
introduce: introduce,introduced,introducing
introduction: introduction
introspect: introspect
introspective: introspective
intrude: intruding
intruder: intruder
intrusion: intrusion,intrusions
intrust: intrusted
intuition: intuition,intuitions
invader: invaders
invalidity: invalidity
invaluable: invaluable
invariable: invariable
invariably: invariably
invent: invent
invest: invested
investigate: investigate,investigated
investigation: investigation,investigations
investment: investment,investments
inviolate: inviolate
invisible: invisible
invite: invited
involve: involved
iodoform: iodoform
iota: iota
irene: irene
irish: irish
iron: iron
irresistible: irresistible
irs: irs
island: island
isle: isle
isolate: isolated
isolation: isolation
issue: issue,issues
italian: italian
item: item,items
iv: iv
ivory: ivory
ix: ix
jack: jack
jacket: jacket
jackson: jackson
jagged: jagged
james: james
jane: jane
january: january
jaw: jaw
jealously: jealously
jealousy: jealousy
jem: jem
jeremiah: jeremiah
jerk: jerked,jerking
jerkily: jerkily
jersey: jersey
jest: jest
jesting: jesting
jet: jet
jewel: jewel,jewels
jeweller: jeweller
jewellery: jewellery
jezail: jezail
job: job
john: john
joint: joint
joke: joke,jokes,joking
jollification: jollification
jolt: jolted
jones: jones
jose: jose
joseph: joseph
jostle: jostling
jot: jot
journey: journey,journeyed,journeys
jove: jove
jovial: jovial
jowl: jowl
joy: joy
judge: judge,judged
judgment: judgment
judicial: judicial
jug: jug
julia: julia
jump: jump,jumped,jumping
june: june
junior: junior
jury: jury
juryman: juryman
justice: justice
justified: justified
jut: jutted,jutting
kate: kate
keen: keen,keenest
keener: keener
keenly: keenly
keeper: keeper
keeping: keeping
kempt: kempt
kensington: kensington
kent: kent
kettle: kettle
key: key
keyhole: keyhole
kick: kicked,kicks
kill: kill,killed,killing
kindle: kindled
kindliness: kindliness
kindly: kindly
kindness: kindness
king: king,kings
kingdom: kingdom
kiss: kissed
kitchen: kitchen
klan: klan
knee: knee,knees
kneel: kneeling,knelt
knife: knife
knit: knitted
knock: knock,knocked
knot: knot,knots
knowledge: knowledge
label: label
labour: labour
labyrinth: labyrinth
lace: lace
lack: lack
lad: lad
ladder: ladder
laden: laden
lady: ladies,lady
ladyship: ladyship
lake: lake
lame: lame
lameness: lameness
lamp: lamp,lamps
lancaster: lancaster
land: land,landed
landau: landau
landing: landing
landlady: landlady
landlord: landlord
landowner: landowner
landscape: landscape
lane: lane,lanes
language: language
languid: languid
languor: languor
lank: lank
lantern: lantern,lanterns
lap: lap
lapse: lapse
lascar: lascar
lash: lash,lashed
lassitude: lassitude
latch: latch
late: late
lateness: lateness
lateral: lateral
laudanum: laudanum
laugh: laugh,laughed,laughing
laughter: laughter
laurel: laurel
law: law,laws
lawn: lawn
lawyer: lawyer
lay: laid,lay,laying,lays
layer: layers
lazily: lazily
lead: lead,leading,leads,led
leader: leader
leaf: leaf,leaves
league: league
leak: leaking
leakage: leakage
lean: lean,leaned,leaning
leap: leaped,leaps
learn: learn,learned
learning: learning
leather: leather
leatherhead: leatherhead
leave: leave,leaves,leaving,left
lebanon: lebanon
lecture: lecture,lectures
ledger: ledger,ledgers
lee: lee
left: left
leg: leg,legs
legal: legal
legally: legally
legged: legged
leggings: leggings
legible: legible
lemon: lemon
lend: lent
lengthen: lengthen,lengthened
lengthy: lengthy
lenient: lenient
lens: lens,lenses
lethargy: lethargy
letter: letter,letters
letters: letters
level: level
lever: levers
liability: liability
liable: liable
liar: liar
liberate: liberated
liberty: liberties,liberty
library: libraries,library
license: license
licensed: licensed
lichen: lichen
lid: lid,lids
lidded: lidded
lie: lain,lie,lies,lying
lieu: lieu
life: life,lives
lifeless: lifeless
lift: lifted
light: light,lighted,lighter,lighting,lights,lit
lighten: lighten,lightened
lighthouse: lighthouse
lighting: lighting
lightning: lightning
limb: limb,limbs
lime: lime
limit: limit,limited,limits
limitation: limitation
limited: limited
limp: limp,limped,limping,limps
linen: linen
linger: lingering
lining: lining
link: link,linked,links
linoleum: linoleum
lip: lip,lips
lipped: lipped
list: list
listen: listen,listened,listening
listless: listless
literary: literary
literature: literature
lithe: lithe
litter: litter
live: live,lived,lives,living
liver: liver
livid: livid
living: living
lloyd: lloyd
load: loading
loaf: loaf
loafer: loafer
loafing: loafing
loan: loans
loathe: loathed
loathing: loathing
loathsome: loathsome
lobster: lobster
local: local
locality: locality
locate: located
location: locations
lock: lock,locked
locket: locket
locus: locus
lodge: lodge
lodger: lodger
lodging: lodging
lodgings: lodgings
loftily: loftily
logic: logic
logical: logical
logician: logician
loitering: loitering
london: london
londoners: londoners
lone: lone
lonely: lonelier,lonely
lookout: lookout
loom: loomed,looming
loop: loop
loophole: loophole
loose: loose,loosed
loosen: loosened
lord: lord,lords
lordship: lordship
lose: lose,losing,lost
loss: loss
lost: lost
lot: lot
loud: loud,louder
loudly: loudly
louisiana: louisiana
lounge: lounged,lounging
lounger: loungers
love: love,loved,loves
lovely: lovely
lover: lover,lovers
loving: loving
lowly: lowliest
lucid: lucid
luck: luck
lucky: lucky
lucrative: lucrative
lucy: lucy
luggage: luggage
lumber: lumber
lunatic: lunatic
lunch: lunch
luncheon: luncheon
lurch: lurched
lure: lure,lured
lurid: lurid
lurk: lurking
lust: lust
lustre: lustre
lustrous: lustrous
luxuriant: luxuriant
luxurious: luxurious
luxury: luxuries
lyon: lyon
lysander: lysander
machine: machine
machinery: machinery
mad: mad
madam: madam
madame: madame
maddening: maddening
mademoiselle: mademoiselle
madly: madly
madman: madman
madness: madness
maggie: maggie
magician: magician
magistrate: magistrate,magistrates
magnificent: magnificent
magnifico: magnifico
magnify: magnifying
mahogany: mahogany
maid: maid,maids
maiden: maiden
mail: mail
main: main
maintain: maintaining
maintenance: maintenance
majesty: majesty
major: major
maker: maker
makings: makings
malay: malay
male: male
malignant: malignant
mall: mall
manage: manage,managed,managing
management: management
manager: manager
manageress: manageress
mangled: mangled
mania: mania
manifest: manifested
manifestation: manifestations
manifold: manifold
mankind: mankind
manner: manner
manners: manners
manor: manor
mansion: mansion
mansions: mansions
mantelpiece: mantelpiece
manual: manual
manufactory: manufactory
map: map
marble: marble
march: march
margin: margin,margins
marine: marines
mark: mark,marked,marks
marked: marked
market: market
marm: marm
marriage: marriage
married: married
marry: married,marry,marrying
marseilles: marseilles
marshy: marshy
martyrdom: martyrdom
mary: mary
masculine: masculine
mask: mask,masked
masonry: masonry
mass: mass,masses
massive: massive
master: master
masterly: masterly
mastery: mastery
mastiff: mastiff
mat: mat
match: match,matches
mate: mates
material: material
matter: matter,matters
mature: mature
maxim: maxim
maximum: maximum
meadow: meadow,meadows
meal: meal
meaning: meaning
meanly: meanly
measure: measure,measured,measures
meddle: meddle
meddler: meddler
medical: medical
meditation: meditation
meditative: meditative
medium: medium
meet: meet,meeting,meets,met
meeting: meetings
melbourne: melbourne
melon: melon
memoir: memoir
memorandum: memoranda
memory: memory
menaced: menaced
mendicant: mendicant,mendicants
mental: mental
mention: mention,mentioned
merchant: merchant
merchantability: merchantability
mercifully: mercifully
mercy: mercy
mere: mere,merest
merit: merit
merry: merry
mesh: meshes
mess: mess
message: message
messenger: messenger
metal: metal
metallic: metallic
method: method,methods
metropolis: metropolis
metropolitan: metropolitan
mew: mews
mews: mews
mexico: mexico
michael: michael
midday: midday
middle: middle
midnight: midnight
midst: midst
midway: midway
mile: mile,miles
military: military
milk: milk
millionaire: millionaire
mind: mind,minds
minded: minded
miner: miners
mingle: mingled
miniature: miniature
mining: mining
minister: minister
minor: minor
minute: minute,minutes
minutely: minutely
mirror: mirror
mischance: mischance
mischief: mischief
miserable: miserable
misfortune: misfortune
misgiving: misgivings
misjudge: misjudged
missing: missing
mission: mission
mississippi: mississippi
mistake: mistake
mistaken: mistaken
mister: mister
mistress: mistress
mix: mixed
mixed: mixed
mixture: mixture
modern: modern
modest: modest
modification: modification
modify: modified
moist: moist
moisten: moistened
moisture: moisture
mole: mole
moment: moment,moments
momentary: momentary
monarch: monarch
monday: monday
money: money
monger: monger
monica: monica
monogram: monogram
monograph: monograph
monomaniac: monomaniac
monosyllable: monosyllable,monosyllables
monotonous: monotonous
monotony: monotony
montague: montague
montana: montana
month: month,months
mood: mood,moods
moodily: moodily
moody: moody
moon: moon
moonless: moonless
moonlight: moonlight
moonshine: moonshine
mop: mopping
moral: moral
moran: moran
morning: morning,mornings
morocco: morocco
morose: morose
morris: morris
morrow: morrow
mortal: mortal,mortals
mortar: mortar
mortgage: mortgage
mortimer: mortimer
moss: moss
mother: mother
motion: motion,motioned
motionless: motionless
motive: motive,motives
mottled: mottled
mould: mould
mountain: mountains
mouse: mice
mousseline: mousseline
moustache: moustache
mouth: mouth,mouths
mouthed: mouthed
movement: movement
mud: mud
muff: muff
multiply: multiply
mumble: mumbled
mumbling: mumbling
munich: munich
munificent: munificent
murder: murder,murdered,murders
murderer: murderer,murderers
murdering: murdering
murderous: murderous
murky: murky
murmur: murmured
muscle: muscles
museum: museum
music: music
musician: musician
mustard: mustard
muster: muster
mutter: muttered,muttering
muzzle: muzzle
mysterious: mysterious
mystery: mysteries,mystery
myth: myth
nail: nail,nails
naked: naked
napoleon: napoleons
narrate: narrated
narrative: narrative,narratives
narrow: narrow,narrowed
narrowly: narrowly
nation: nation
national: national
native: native
natural: natural
naturally: naturally
nature: nature
natured: natured
nautical: nautical
nearer: nearer
neat: neat
neatly: neatly
neatness: neatness
necessitate: necessitate
necessity: necessity
neck: neck
necktie: necktie
ned: ned
needle: needle
negligence: negligence
negro: negro,negroes
neighbour: neighbour,neighbouring,neighbours
neighbourhood: neighbourhood
nerve: nerve,nerves
nervous: nervous
nervously: nervously
nest: nest
network: network
neutral: neutral
neville: neville
newcomer: newcomer,newcomers
newly: newly
news: news
newsletter: newsletter
newspaper: newspaper,newspapers
nice: nice
nicely: nicely
nickel: nickel
niece: niece
nigh: nigh
night: night,nights
nights: nights
nip: nip
nipper: nipper
nitrate: nitrate
noble: noble,noblest
nobleman: nobleman
nocturnal: nocturnal
